                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.70511,                 0.3838,                0.89614,                0.88767,                0.42882,                0.90693,                0.79694,                0.77748,                0.82434,                0.62156,                0.95412,                0.71419,                 1.0886,                0.99734,                0.80265,                 1.0984,             0.00051988,             0.00051988,             0.00051988
                     62,                0.69715,                0.37817,                0.89632,                0.88144,                0.42075,                0.90685,                0.78537,                0.78871,                0.81462,                0.61622,                0.95252,                0.67536,                 1.0948,                0.99753,                0.73031,                 1.1054,              0.0005075,              0.0005075,              0.0005075
                     63,                0.69462,                0.38139,                0.89421,                0.87335,                0.42862,                0.90503,                0.79012,                0.77509,                0.81292,                0.62285,                0.93877,                0.77552,                 1.0781,                0.98564,                0.85363,                 1.0904,             0.00049513,             0.00049513,             0.00049513
                     64,                 0.6966,                0.37795,                0.89748,                0.87787,                0.42621,                0.90665,                0.81529,                0.74632,                0.81125,                0.62173,                0.93683,                0.76404,                 1.0902,                0.98548,                0.86255,                 1.1014,             0.00048275,             0.00048275,             0.00048275
                     65,                0.69536,                0.37223,                0.89488,                0.87901,                0.42126,                0.90363,                0.77515,                0.78525,                0.80973,                0.61538,                 0.9466,                0.80362,                 1.0935,                 1.0005,                0.90503,                 1.1065,             0.00047038,             0.00047038,             0.00047038
                     66,                 0.6892,                 0.3691,                0.89606,                0.86879,                0.41153,                0.90517,                0.79832,                0.80518,                0.83826,                0.64429,                0.93536,                0.78456,                 1.0975,                0.98094,                0.86213,                 1.1064,               0.000458,               0.000458,               0.000458
                     67,                0.69033,                0.36991,                0.89506,                0.86613,                0.41232,                0.90529,                0.77439,                0.77902,                0.81208,                0.61733,                0.94872,                0.77025,                 1.0921,                 0.9949,                0.86169,                 1.1018,             0.00044563,             0.00044563,             0.00044563
                     68,                0.68372,                0.36253,                0.89387,                0.86551,                0.40745,                0.90372,                0.74667,                0.74675,                0.77274,                0.58968,                0.94982,                0.82307,                 1.0896,                 1.0002,                0.92919,                 1.1024,             0.00043325,             0.00043325,             0.00043325
                     69,                0.68591,                0.36577,                0.88996,                   0.86,                 0.4079,                0.89967,                0.78151,                0.77859,                0.81062,                0.62253,                0.93621,                0.80801,                 1.0799,                0.98244,                0.91876,                 1.0898,             0.00042087,             0.00042087,             0.00042087
                     70,                0.67733,                0.36328,                0.88834,                0.85038,                0.40492,                0.89831,                0.76166,                0.78304,                0.80017,                0.60926,                0.94486,                 0.7606,                 1.0863,                 0.9898,                0.85545,                 1.0952,              0.0004085,              0.0004085,              0.0004085
                     71,                0.67814,                0.36191,                0.88642,                0.85688,                0.40468,                0.89648,                0.79651,                0.79703,                0.83362,                0.63583,                0.94602,                0.74438,                 1.0809,                0.98882,                0.83691,                 1.0887,             0.00039613,             0.00039613,             0.00039613
                     72,                0.67482,                 0.3554,                0.88656,                0.84768,                0.39362,                0.89627,                0.77567,                0.80532,                0.82634,                0.63437,                 0.9368,                0.74743,                 1.0869,                0.98255,                0.82322,                 1.0977,             0.00038375,             0.00038375,             0.00038375
                     73,                0.66838,                0.35224,                0.88241,                0.83805,                0.38918,                0.89169,                0.77681,                0.79174,                  0.806,                0.61361,                 0.9385,                0.76602,                  1.081,                0.98323,                0.85155,                 1.0891,             0.00037138,             0.00037138,             0.00037138
                     74,                0.67177,                0.35525,                0.88474,                0.84482,                0.39503,                0.89408,                0.78062,                0.78146,                0.82781,                0.64015,                0.93203,                0.71483,                 1.0842,                0.97433,                0.79604,                  1.091,               0.000359,               0.000359,               0.000359
                     75,                0.66568,                0.34985,                 0.8863,                 0.8398,                0.38867,                0.89589,                0.76309,                0.79143,                0.82165,                0.62748,                0.94165,                0.78885,                 1.0838,                0.98547,                0.88682,                 1.0935,             0.00034663,             0.00034663,             0.00034663
                     76,                0.66677,                0.34909,                0.88639,                0.84327,                0.39045,                0.89613,                0.75162,                0.79646,                0.80723,                0.61596,                0.94568,                0.75591,                 1.0853,                0.99003,                0.85866,                 1.0962,             0.00033425,             0.00033425,             0.00033425
                     77,                0.66667,                0.34497,                0.88315,                0.84192,                0.38325,                0.89219,                0.79367,                0.77765,                0.81889,                0.62361,                0.93885,                0.75499,                 1.0839,                0.98533,                0.87047,                 1.0955,             0.00032188,             0.00032188,             0.00032188
                     78,                0.65724,                0.34276,                 0.8804,                0.82833,                0.37587,                0.89008,                0.75835,                0.81851,                0.81798,                0.62667,                0.93199,                0.76996,                 1.0789,                0.97726,                0.86941,                   1.09,              0.0003095,              0.0003095,              0.0003095
                     79,                0.65165,                0.33823,                0.87718,                 0.8236,                0.37152,                0.88653,                 0.7992,                0.78171,                0.82226,                0.63233,                 0.9279,                0.70786,                 1.0796,                0.97064,                 0.7918,                 1.0871,             0.00029713,             0.00029713,             0.00029713
                     80,                0.66108,                0.34047,                 0.8811,                0.83643,                0.37846,                0.89065,                 0.7435,                0.79226,                 0.7957,                0.61274,                0.93244,                0.69472,                 1.0773,                0.97469,                0.78171,                 1.0867,             0.00028475,             0.00028475,             0.00028475
                     81,                0.64905,                0.33541,                0.87708,                  0.822,                0.37224,                0.88697,                0.80038,                0.76743,                0.80661,                0.61947,                0.93366,                0.75948,                 1.0814,                0.97532,                0.86177,                 1.0901,             0.00027237,             0.00027237,             0.00027237
                     82,                0.64963,                0.33298,                0.87544,                0.82555,                0.36738,                0.88525,                0.76814,                0.79045,                0.80342,                0.61603,                0.93868,                0.75678,                 1.0881,                 0.9833,                0.84351,                 1.0941,                0.00026,                0.00026,                0.00026
                     83,                0.64984,                 0.3348,                0.88021,                0.82219,                0.36875,                 0.8902,                0.77697,                0.77383,                0.80809,                0.61853,                0.93592,                0.73717,                 1.0939,                0.98436,                0.82679,                 1.1037,             0.00024762,             0.00024762,             0.00024762
                     84,                0.64235,                0.32871,                0.87721,                0.80945,                0.36094,                0.88667,                0.74905,                 0.7939,                 0.8001,                0.61645,                0.92833,                0.78682,                 1.0887,                0.97385,                0.89002,                  1.096,             0.00023525,             0.00023525,             0.00023525
